name,salary,experience,views,applications,description
Senior Python Developer,,5,42,4,"Open to remote candidates, with the ability to travel to the client's site in Germany.Experience: 5+ yearsJob Type: Full-time, Long-termEnglish: Upper-IntermediateProject:A fast-growing impact start-up revolutionizing the market of used electric vehicles (EV). Our platform provides seamless access to electric mobility, empowering customers to make the switch to a more sustainable lifestyle.Responsibilities:-Develop our next-level tech stack from scratch-Integrate 3rd party APIs of product and sales partners into our workflows-Create a robust data structure to facilitate growth at scale-Host microservices in the cloud for optimal performance-Support low-code frontend development using bubble.ioRequirements:-Builder mindset with a passion for creating impact-Commitment to finding the best and fastest implementation, with or without code-Proven experience developing tech stacks from inception-Contributions to various software projects-Implementation of Rest APIs and database setup"
Senior Backend Engineer,,5,41,13,"Please, fill in this form to apply https://airtable.com/shr1102grp8mtkvm8About us:Yonder Media Mobile is a start-up company with its headquarters in New York City, USA.YMM has engineering/dev subsidiaries in Ukraine, and Poland, where it has built Global YO - a mobile app, a parallel online world and a network for Web3, connected by chains- Single Sign On, Blockchain, and in-app token YOYO$. Global YO grants the easiest access to WEB3DOM from Earth!Currently, we are looking for a Backend Engineer to join the team immediately.We primary use:Python, Django, Golang, Docker, Docker-compose, Postgresql, Kafka, Redis, Cloudflare and AWS.Requirements:- 5+ years of development experience in Python;- Experience with Git;- Strong knowledge of SQL, experience of working with relational databases like PostgreSQL;- RESTful API development experience;- Solid understanding of performance optimization and algorithmization;- At least intermediate level of English. Responsibilities:- Writing clean, efficient, and maintainable code using programming languages such as Python and Golang;- Developing and maintaining APIs (Application Programming Interfaces) for seamless communication between different systems and services;- Working closely with cross-functional teams, including product managers and designers, to translate business requirements into technical solutions;- Participating in code reviews and providing constructive feedback to enhance the overall quality of the teams work.Nice to have:- Experience with Docker/Terraform will be a plus;- Experience in high load projects will be a plus;- Experience with Go will be a plus;- Experience with serverless will be a plus.We offer:- Top-notch products disrupting the world of traditional media-services industry;- Work with brilliant software team with a high level of collaboration and desire to achieve goals;- Flexible working hours;- Corporate equipment for work;- Competitive salary;- The possibility of personal and professional growth. Our Company Cultural Pillars (what we look for in our team members):1. Views technology as progress for humanity: You dont necessarily need to be the most early adopter of early adopters, but at YMM we firmly believe that technology, when used correctly and when access is given equitably, should improve the human experience, and were looking for likeminded team members. 2. Innovative, optimistic, curious, and thinks outside the box: Although introspection, reflection and research are fundamental to a healthy business, to build an Adhocracy we are looking for people who are willing to believe in crazy ideas. An idea for how to practice this: in your next team brainstorm, instead of defining all the reasons an idea wont work, try listing all the reasons it might work.3. Humility & willingness to grow: Everyone in the world is better than you at something. The smartest people always know that theyre not the smartest person, and stay open to constructive feedback (from anyone - not just their superiors) as a tool for continuous growth. The humility to receive feedback without becoming defensive or pointing fingers is crucial to YOs culture. And of course, feedback should always be given following the Radical Candor style. (Radical Candor is required reading!) 4. World-class communicators: When in doubt, overcommunicate. Imagine how many problems in the world have been caused by miscommunication or misunderstandings caused by less-than-perfect communication. Weve all been there - you walk away from an interaction thinking that the other person understood you perfectly, yet find out a few days later that they had a completely different takeaway of the conversation as you did. This is especially a challenge for globally distributed teams who work in several different languages and time zones. We are looking to build a team of world-class communicators (whether written or verbal, but ideally both) in order to improve efficiency, productivity, and happiness at YO (less misunderstandings equals happier workplace). (Required reading: The Story of Everybody, Somebody, Anybody, and Nobody)5. Proactive & problem-solving attitude: Nobody wants to work with somebody who only brings problems to the table and not solutions. Were looking for people who will lead brainstorms, suggest ways to help their coworkers solve problems, or be willing to roll up their sleeves and jump in if their help/skillset is needed (the no task too small attitude). We expect that the first response to a problem is to start finding solutions."
Python (Django) Team Lead,,3,25,8,"We are looking for a skilled Python (Django) Team Lead to join our development team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule  you have found the right place to send your CV.Skills Requirements: 4 years+ experience with Python 3.4+; 3 years+ experience with Django / DRF; Experience in building complex, highload services; Experience in Multithreading / multiprocessing approaches; Experience with Celery; Experience with SQL and NoSQL based databases; RESTful APIs; Docker / Kubernetes.Responsibilities:  Manage the development process and assist team members;  Develop highload solutions;  Solution architecture;  R&D work with new technology;  Maintaining high-quality coding standards within the team;  Code review;Optional skills (as a plus): Experience working with high load projects; Experience with AWS services (EC2, API Getaway, Lambda, SQS). Experience with Elasticsearch; Experience with payment systems integrations.We offer: Great networking opportunities with international clients, challenging tasks; Building interesting projects from scratch using new technologies; Personal and professional development opportunities; Competitive salary fixed in USD; Paid vacation and sick leaves, medical insurance; Flexible work schedule; Friendly working environment with minimal hierarchy; Comfortable, spacious and well-equipped office in the city center; Team building activities, corporate events."
Backend Developer (Python) for company that makes a solution for banks and insurances,,5,64,11,"Remote, full-time, long-time cooperation, product company for direct hiring.The development team of around 30 people, includes 2 FE (React), and the others are BE (Python) and Full-stack developers.Tech stack: Python, AWS, Docker, k8s, CI/CD, MongoDB\SQL, RESTful APIs, etc.Interview process:1. Introduction interview 30 min with VP R&D and team lead.2. Technical Interview.Reference check and Job offer.The company's product is a no-code platform designed for constructing and enhancing digital customer journeys, revolutionizing paperwork-based processes in sectors such as insurance, banking, and financial services to foster customer engagement and drive revenue growth.We are currently seeking a Backend Developer to join our dynamic team, contributing to the development of our distinctive business process and online form editor. This opportunity places you at the forefront of digital innovation in one of the leading companies in the field. Your role will encompass the entire development cycle, from defining requirements to design, implementation, and the selection of relevant technologies.As a valued member of our fast-growing and passionate team, each individual holds a key influence on the product.Responsibilities:* Spearheaded the end-to-end development of essential platform features.* Collaborating closely with the product team to ensure seamless integration.* Conducting research to identify and adopt new and relevant technologies for platform enhancement.Requirements:* 6+ years of experience as a backend developer in Python.* Understanding of scalability, robustness, and a desire to write high-quality backend code.* Working with deployment / CI-CD pipelines.* Proficiency in working with RESTful APIs and integrating server-side APIs.* Knowledge of MongoDB, SQL, and Data Modeling.* Experience with AWS.* Team Player  a proven ability to work in a dynamic startup environment.* Advantages:Experience with Docker, Kubernetes, and Microservices.Some experience with web technologies.What we offer when you join:* A collaborative and innovative work environment.* Opportunities for professional growth and development.* Competitive salary and benefits package.* The chance to contribute to cutting-edge digital innovation in a rapidly growing industry.* 18 days of vacation, and 12 sick-leaves days. Contact me for discussion"
Senior Python Developer,,5,31,8,"Open to remote candidates, with the ability to travel to the client's site in Germany.Experience: 5+ yearsJob Type: Full-time, Long-termEnglish: Upper-IntermediateProject:We are a fast-growing impact start-up revolutionizing the market of used electric vehicles (EV). Our platform provides seamless access to electric mobility, empowering customers to make the switch to a more sustainable lifestyle.Responsibilities:-Develop our next-level tech stack from scratch-Integrate 3rd party APIs of product and sales partners into our workflows-Create a robust data structure to facilitate growth at scale-Host microservices in the cloud for optimal performance-Support low-code frontend development using bubble.ioRequirements:-Builder mindset with a passion for creating impact-Commitment to finding the best and fastest implementation, with or without code-Proven experience developing tech stacks from inception-Contributions to various software projects-Implementation of Rest APIs and database setup"
Python Tech Lead,,5,37,11,"Lets start with what PLANEKS offer:0. Fast and comfortable hiring process.1. 100% remote work opportunity and flexitime - choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!This position supposes that you have the following knowledge and competencies:- 5+ years of commercial software engineering experience using Python for Web.- Strong soft skills including leadership - ability to hire, develop, inspire, motivate, train and manage the team to meet high goals.- Knowledge of Python frameworks/CMSs.- Knowledge of SQL and NoSQL databases.- Knowledge of designing and writing APIs or RESTful endpoints.- Multi-threading, asynchronous and microservice software development experience.- Understanding of network principles (TCP / IP, DNS, HTTP, SSL).- Knowledge of message streams and brokers RabbitMQ, Kafka, etc.- Strong expertise in software design, development and development management- Knowledge OOP, Architecture Patterns and Best Practices for tech solutions.- Excellent English communication skills (both verbal and written).Will be a plus:- Knowledge of another programming language except for Python.- Strong understanding of CI/CD process and cloud platforms.- Experience with Machine Learning or Artificial Intelligence.- Business-oriented approach.Responsibilities:- Being on the edge of technology, management, and business.- Working with the founders on directions and goals for the development team.- Technical mentoring and coaching of developers.- Being a part of recruitment processes.- Integrate the newest technologies and approaches which will be used by other developers in the company.- Constantly adding value to the experience of our customers and coding!"
Middle Python Developer (with Next.js exp),,3,31,6,"JOIDY is looking for a Middle Python Developer (with Next.js exp) to join our team!RESPONSIBILITIES: Collaborate with cross-functional teams to design, develop, and implement Python-based solutions for various projects Work on a variety of tasks across different projects Write efficient and scalable code Collaborate with team members to identify opportunities for process improvementREQUIREMENTS: Minimum of 3 years of professional experience as a Python Developer Strong proficiency in Next.js framework English - B1+ WHAT WE OFFER: Unlimited work from home Flexible schedule Minimal bureaucracy Ability to influence companys processes and project tech stack PE support and tax coverage Free English classes"
"Middle Python/Django developer, full stack as a plus (front preferable vue.js)",,2,81,28,"We are looking for an experienced Middle Python Developer ready to join our team and contribute to an innovative project in the tourism and hospitality industry. Our platform connects travel agency managers and hoteliers by providing a user-friendly booking system and travel marketplace. If you have an analytical mind, the ability to find solutions independently, and experience with Python, Django, Vue.js, and Docker, we are waiting for you!Responsibilities: Developing and integrating new functionality for our platform using Python, Django, Django REST Framework, Vue.js, and Docker Designing and optimizing the user interface to improve the user experience Testing and debugging new features and troubleshooting potential issues Making suggestions to optimize and improve the systemRequirements: Development experience using Python and Django Experience working with Django REST Framework to create APIs Ability to work with Docker to deploy and manage the application Analytical mindset and ability to find solutions to complex problems Excellent communication skills and ability to ask the right questionsWill be plus: Knowledge of Vue.js for frontend interface development Material Design system"
Python Engineer (Вчасно Каса),,2,70,12,"    ,  : , .EDI, ., .    SAAS             700 000  ( :  , , Portmone, OLX, Delivery, Rozetka, Glovo, Monobank   ).      .   ,    .,  :Backend: python 3.11, Aiohttp, Rust (   ), PostgreSQL, Redis, K8S, Docker. Frontend: React Mobile: Flutter :        CTO     30 ,  : Backend, Frontend  Flutter ,   DevOps  QA .    .: 3 Backend Engineer, 1 Frontend Engineer, Team lead, 1 Manual QA, Project manager, Product manager, support, integration team.     .   : -   Python; -      ; -  Graphql; -   SQL,  ; -         ; -        ;  -   K8S.: -   ; -  ; -  ,  ; -  .    : -    Kanban,      .  , ; -          ,      ,       ; -    ; -      ,   ; -      .       ? -   Google Meet       ; -   (1,5 ). :-     ;- 24      ,   ;-  ,     (. )  ;-  ."
Junior Strong Python Engineer,,1,361,121,"Our mission at Geniusee is to help businesses thrive through tech partnership and strengthen the engineering community by sharing knowledge and creating opportunitiesWe care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and were always open to feedback If you want to work from home and be a full-time employee or work in the city center of Kyiv, great  apply right now.About the project:The company develops customized permit management strategies tailored to each clients project. These strategies are designed to address unique challenges, regulatory requirements, and objectives, making the permit acquisition process efficient and effective.What you will need: 1+ years of experience with Python; Experience with best code styles practice; Experience with pytest and other testing frameworks; Experience with SQL and NoSQL databases; Experience FastAPI, Django, or Flask; Upper-Intermediate English level.Would be a plus: Experience with Docker; Experience with cloud infrastructure.What will you get: Competitive salary and good compensation package; Exciting, challenging and stable startup projects with a modern stack; Corporate English course; Ability to practice English and communication skills through permanent interaction with clients from all over the world; Professional study compensation; Career development opportunity, semi-annual and annual salary review process; Necessary equipment to perform work tasks; VIP medical insurance or sports coverage; Informal and friendly atmosphere; The ability to focus on your work: a lack of bureaucracy and micromanagement; Flexible working hours (start your day between 8:00 and 11:30); Team buildings, corporate events; Paid vacation (18 working days) and sick leaves; Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ) Unlimited work from home from anywhere in the world (remote); Geniusee has its own charity fund.Reasons you will love working at Geniusee: Employee-friendly working conditionsOne of Geniusees core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best. Teamwork beats distanceWe put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events. Excellent tools and equipmentYou dont have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.Your Geniusee Career Growth: 360-degree feedback  a process through which feedback from an employees subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered Evaluation  time to talk with an expert. Together, you will assess the progress you have achieved Navigation  summarize your review with a manager and define your future goals"
Lead Tools Programmer,,5,24,1,"QLOC offers first-class services for the video game industry. We love games, and we love to co-develop games even more! Our broad range of services includes development, art, testing and localization. We offer first-class services for the biggest players in the video game industry  EA, Capcom, Warner Bros., CD PROJEKT RED, Activision and BANDAI NAMCO Entertainment, among many others. We work on the biggest gaming platforms, state-of-the-art technologies and games powered by Unreal Engine, or custom engines like Frostbite or REDengine. We have helped enhance and move Devil May Cry, Dark Souls Remastered, Mortal Kombat, Cyberpunk 2077, Gotham Knights (and many more) to new platforms, taking great joy and sharing passion with players worldwide.Do you have some video game industry experience, or are you a veteran looking for a stable and friendly work environment? Would you like to work in a well-developed, streamlined structure where you know your duties? Want to get some needed work-life balance?If yes  check our offer!As one of the #QLOCdragons you will be responsible for: leading a small team of tools programmers leading by example, spending the majority of time on coding-related activities managing architecture, designing and implementing new and existing tools overseeing the creation and development of different pipelines (build, test, content optimization) mentoring and guiding less experienced programmers in your domain cooperating with Producers, Lead Programmers and other domain Leads.What do we require of you: shipped at least one AA/AAA title as a senior tools programmer 5+ years of experience in the gaming industry with tools focus worked on a game targeting PC and/or consoles experience with Unreal Engine 4/5 or proprietary 3d engine good knowledge of at least one high-productivity language like Python or C# solid understanding of 3D math experience extending and optimizing content pipelines.It is nice if you have: Unreal Engine 4/5 tools and content pipeline experience experience in working with the newest Microsoft and Sony consoles experience using or creating plugins for digital content creation tools (3ds Max, Maya, Substance Painter, Houdini) experience with test automation, especially in Unreal Engine.WHAT CAN WE OFFER YOU IN RETURN? possibility to work from the office, hybrid or fully remote office space in a nice location in Kyiv flexible working hours Polish, English or Japanese online classes training and professional growth mental health support financing of private healthcare team-building activities.As an equal opportunity company, all qualified candidates will receive consideration for a contract regardless of their race, religion, gender, national origin, or gender identity. Any other legally protected characteristics will not affect the evaluation process.If you want to read about processing your personal data during recruitment, check out this page: https://q-loc.com/privacy-policy/personal-data-processing/"
